date,location,value
2001-12,National Museum Of Singapore,18.3
2001-12,Singapore Art Museum,9.3
2001-12,Singapore Philatelic Museum,3.6
2001-12,The Peranakan Museum,na
2001-12,Science Centre Singapore,54.6
2001-12,Jurong Birdpark,91.6
2001-12,Night Safari,75.8
2001-12,River Safari,na
2001-12,Singapore Zoological Gardens,162.7
2001-12,Chinese/japanese Gardens,47.3
2002-01,Asian Civilisations Museum,7.2
2002-01,National Museum Of Singapore,17.3
2002-01,Singapore Art Museum,9.5
2002-01,Singapore Philatelic Museum,4.1
2002-01,The Peranakan Museum,na
2002-01,Science Centre Singapore,20
2002-01,Jurong Birdpark,64.4
2002-01,Night Safari,59.7
2002-01,River Safari,na
2002-01,Singapore Zoological Gardens,76.7
2002-01,Chinese/japanese Gardens,26.1
2002-02,Asian Civilisations Museum,6.2
2002-02,National Museum Of Singapore,20
2002-02,Singapore Art Museum,5.3
2002-02,Singapore Philatelic Museum,3.1
2002-02,The Peranakan Museum,na
2002-02,Science Centre Singapore,22.5
2002-02,Jurong Birdpark,66.6
2002-02,Night Safari,59
2002-02,River Safari,na
2002-02,Singapore Zoological Gardens,96.5
2002-02,Chinese/japanese Gardens,30.1
2002-03,Asian Civilisations Museum,5.7
2002-03,National Museum Of Singapore,25.9
2002-03,Singapore Art Museum,6.6
2002-03,Singapore Philatelic Museum,3.1
2002-03,The Peranakan Museum,na
2002-03,Science Centre Singapore,50.3
2002-03,Jurong Birdpark,91
2002-03,Night Safari,80.9
2002-03,River Safari,na
2002-03,Singapore Zoological Gardens,145.2
2002-03,Chinese/japanese Gardens,27.5
2002-04,Asian Civilisations Museum,6.3
2002-04,National Museum Of Singapore,24.7
2002-04,Singapore Art Museum,5.5
2002-04,Singapore Philatelic Museum,3.3
2002-04,The Peranakan Museum,na
2002-04,Science Centre Singapore,28.5
2002-04,Jurong Birdpark,71.9
2002-04,Night Safari,61.8
2002-04,River Safari,na
2002-04,Singapore Zoological Gardens,81.8
2002-04,Chinese/japanese Gardens,17
2002-05,Asian Civilisations Museum,8.2
2002-05,National Museum Of Singapore,41.2
2002-05,Singapore Art Museum,10.6
2002-05,Singapore Philatelic Museum,3.4
2002-05,The Peranakan Museum,na
2002-05,Science Centre Singapore,56.5
2002-05,Jurong Birdpark,88.7
2002-05,Night Safari,70.3
2002-05,River Safari,na
2002-05,Singapore Zoological Gardens,117.1
2002-05,Chinese/japanese Gardens,17.9
2002-06,Asian Civilisations Museum,3.2
2002-06,National Museum Of Singapore,19.9
2002-06,Singapore Art Museum,11.1
2002-06,Singapore Philatelic Museum,2.3
2002-06,The Peranakan Museum,na
2002-06,Science Centre Singapore,67.4
2002-06,Jurong Birdpark,83.6
2002-06,Night Safari,70.2
2002-06,River Safari,na
2002-06,Singapore Zoological Gardens,123.6
2002-06,Chinese/japanese Gardens,21.8
2002-07,Asian Civilisations Museum,5.6
2002-07,National Museum Of Singapore,23
2002-07,Singapore Art Museum,13.3
2002-07,Singapore Philatelic Museum,4.2
2002-07,The Peranakan Museum,na
2002-07,Science Centre Singapore,35.4
2002-07,Jurong Birdpark,80.6
2002-07,Night Safari,81.6
2002-07,River Safari,na
2002-07,Singapore Zoological Gardens,106.3
2002-07,Chinese/japanese Gardens,16.8
2002-08,Asian Civilisations Museum,8.1
2002-08,National Museum Of Singapore,25.2
2002-08,Singapore Art Museum,27.5
2002-08,Singapore Philatelic Museum,4.4
2002-08,The Peranakan Museum,na
2002-08,Science Centre Singapore,41.2
2002-08,Jurong Birdpark,91.3
2002-08,Night Safari,92
2002-08,River Safari,na
2002-08,Singapore Zoological Gardens,108.7
2002-08,Chinese/japanese Gardens,20.4
2002-09,Asian Civilisations Museum,3.7
2002-09,National Museum Of Singapore,18.7
2002-09,Singapore Art Museum,8.8
2002-09,Singapore Philatelic Museum,3
2002-09,The Peranakan Museum,na
2002-09,Science Centre Singapore,53.2
2002-09,Jurong Birdpark,80.1
2002-09,Night Safari,76.1
2002-09,River Safari,na
2002-09,Singapore Zoological Gardens,112.2
2002-09,Chinese/japanese Gardens,218.9
2002-10,Asian Civilisations Museum,5.5
2002-10,National Museum Of Singapore,27.5
2002-10,Singapore Art Museum,8
2002-10,Singapore Philatelic Museum,4.4
2002-10,The Peranakan Museum,na
2002-10,Science Centre Singapore,37.6
2002-10,Jurong Birdpark,97.5
2002-10,Night Safari,71.1
2002-10,River Safari,na
2002-10,Singapore Zoological Gardens,81.7
2002-10,Chinese/japanese Gardens,15.4
2002-11,Asian Civilisations Museum,5.8
2002-11,National Museum Of Singapore,28.5
2002-11,Singapore Art Museum,11.6
2002-11,Singapore Philatelic Museum,4.4
2002-11,The Peranakan Museum,na
2002-11,Science Centre Singapore,39
2002-11,Jurong Birdpark,87.5
2002-11,Night Safari,67.5
2002-11,River Safari,na
2002-11,Singapore Zoological Gardens,94.8
2002-11,Chinese/japanese Gardens,46.6
2002-12,Asian Civilisations Museum,6.4
2002-12,National Museum Of Singapore,19.5
2002-12,Singapore Art Museum,9.9
2002-12,Singapore Philatelic Museum,3.3
2002-12,The Peranakan Museum,na
2002-12,Science Centre Singapore,64.2
2002-12,Jurong Birdpark,86.2
2002-12,Night Safari,83.6
2002-12,River Safari,na
2002-12,Singapore Zoological Gardens,147.2
2002-12,Chinese/japanese Gardens,21.9
2003-01,Asian Civilisations Museum,4.2
2003-01,National Museum Of Singapore,15.1
2003-01,Singapore Art Museum,7.3
2003-01,Singapore Philatelic Museum,2.4
2003-01,The Peranakan Museum,na
2003-01,Science Centre Singapore,15.1
2003-01,Jurong Birdpark,54.2
2003-01,Night Safari,63.9
2003-01,River Safari,na
2003-01,Singapore Zoological Gardens,54.9
2003-01,Chinese/japanese Gardens,15.6
2003-02,Asian Civilisations Museum,7.1
2003-02,National Museum Of Singapore,24.7
2003-02,Singapore Art Museum,9.5
2003-02,Singapore Philatelic Museum,4.2
2003-02,The Peranakan Museum,na
2003-02,Science Centre Singapore,27.7
2003-02,Jurong Birdpark,65.2
2003-02,Night Safari,55.6
2003-02,River Safari,na
2003-02,Singapore Zoological Gardens,86.9
2003-02,Chinese/japanese Gardens,21
2003-03,Asian Civilisations Museum,31.2
2003-03,National Museum Of Singapore,19
2003-03,Singapore Art Museum,9.2
2003-03,Singapore Philatelic Museum,3.1
2003-03,The Peranakan Museum,na
2003-03,Science Centre Singapore,45.1
2003-03,Jurong Birdpark,60.8
2003-03,Night Safari,59.4
2003-03,River Safari,na
2003-03,Singapore Zoological Gardens,103
2003-03,Chinese/japanese Gardens,19.7
2003-04,Asian Civilisations Museum,5.4
2003-04,National Museum Of Singapore,10.5
2003-04,Singapore Art Museum,4.3
2003-04,Singapore Philatelic Museum,1.1
2003-04,The Peranakan Museum,na
2003-04,Science Centre Singapore,11.2
2003-04,Jurong Birdpark,15.7
2003-04,Night Safari,18.6
2003-04,River Safari,na
2003-04,Singapore Zoological Gardens,37.4
2003-04,Chinese/japanese Gardens,16.5
2003-05,Asian Civilisations Museum,8.9
2003-05,National Museum Of Singapore,1
2003-05,Singapore Art Museum,4.8
2003-05,Singapore Philatelic Museum,1.9
2003-05,The Peranakan Museum,na
2003-05,Science Centre Singapore,15.4
2003-05,Jurong Birdpark,21.7
2003-05,Night Safari,24.6
2003-05,River Safari,na
2003-05,Singapore Zoological Gardens,62.5
2003-05,Chinese/japanese Gardens,18.1
2003-06,Asian Civilisations Museum,11
2003-06,National Museum Of Singapore,1.1
2003-06,Singapore Art Museum,7.8
2003-06,Singapore Philatelic Museum,3.9
2003-06,The Peranakan Museum,na
2003-06,Science Centre Singapore,68.2
2003-06,Jurong Birdpark,54.7
2003-06,Night Safari,38.7
2003-06,River Safari,na
2003-06,Singapore Zoological Gardens,118.6
2003-06,Chinese/japanese Gardens,31.9
2003-07,Asian Civilisations Museum,12.5
2003-07,National Museum Of Singapore,4.6
2003-07,Singapore Art Museum,10.4
2003-07,Singapore Philatelic Museum,3.2
2003-07,The Peranakan Museum,na
2003-07,Science Centre Singapore,45.3
2003-07,Jurong Birdpark,59.4
2003-07,Night Safari,51.9
2003-07,River Safari,na
2003-07,Singapore Zoological Gardens,85.6
2003-07,Chinese/japanese Gardens,24.3
2003-08,Asian Civilisations Museum,11.5
2003-08,National Museum Of Singapore,8.3
2003-08,Singapore Art Museum,21.5
2003-08,Singapore Philatelic Museum,5.9
2003-08,The Peranakan Museum,na
2003-08,Science Centre Singapore,45.7
2003-08,Jurong Birdpark,70
2003-08,Night Safari,63.7
2003-08,River Safari,na
2003-08,Singapore Zoological Gardens,93.9
2003-08,Chinese/japanese Gardens,73.1
2003-09,Asian Civilisations Museum,14
2003-09,National Museum Of Singapore,7.1
2003-09,Singapore Art Museum,16.6
2003-09,Singapore Philatelic Museum,4
2003-09,The Peranakan Museum,na
2003-09,Science Centre Singapore,60.1
2003-09,Jurong Birdpark,72.8
2003-09,Night Safari,51.7
2003-09,River Safari,na
2003-09,Singapore Zoological Gardens,96.6
2003-09,Chinese/japanese Gardens,171.3
2003-10,Asian Civilisations Museum,14.4
2003-10,National Museum Of Singapore,6.8
2003-10,Singapore Art Museum,19.5
2003-10,Singapore Philatelic Museum,5.5
2003-10,The Peranakan Museum,na
2003-10,Science Centre Singapore,43.8
2003-10,Jurong Birdpark,62.2
2003-10,Night Safari,52.7
2003-10,River Safari,na
2003-10,Singapore Zoological Gardens,88.6
2003-10,Chinese/japanese Gardens,18.9
2003-11,Asian Civilisations Museum,14.6
2003-11,National Museum Of Singapore,5.7
2003-11,Singapore Art Museum,18.5
2003-11,Singapore Philatelic Museum,5.9
2003-11,The Peranakan Museum,na
2003-11,Science Centre Singapore,50.3
2003-11,Jurong Birdpark,83.7
2003-11,Night Safari,62.4
2003-11,River Safari,na
2003-11,Singapore Zoological Gardens,116.6
2003-11,Chinese/japanese Gardens,19.6
2003-12,Asian Civilisations Museum,12.5
2003-12,National Museum Of Singapore,5
2003-12,Singapore Art Museum,20
2003-12,Singapore Philatelic Museum,4.7
2003-12,The Peranakan Museum,na
2003-12,Science Centre Singapore,58.4
2003-12,Jurong Birdpark,75.8
2003-12,Night Safari,67
2003-12,River Safari,na
2003-12,Singapore Zoological Gardens,118.1
2003-12,Chinese/japanese Gardens,22.7
2004-01,Asian Civilisations Museum,13.8
2004-01,National Museum Of Singapore,4.1
2004-01,Singapore Art Museum,23.2
2004-01,Singapore Philatelic Museum,5.4
2004-01,The Peranakan Museum,na
2004-01,Science Centre Singapore,47.4
2004-01,Jurong Birdpark,58.3
2004-01,Night Safari,57.4
2004-01,River Safari,na
2004-01,Singapore Zoological Gardens,75.9
2004-01,Chinese/japanese Gardens,31.8
2004-02,Asian Civilisations Museum,14.4
2004-02,National Museum Of Singapore,6.1
2004-02,Singapore Art Museum,22.1
2004-02,Singapore Philatelic Museum,3.7
2004-02,The Peranakan Museum,na
2004-02,Science Centre Singapore,58.7
2004-02,Jurong Birdpark,40.7
2004-02,Night Safari,56.9
2004-02,River Safari,na
2004-02,Singapore Zoological Gardens,69
2004-02,Chinese/japanese Gardens,37.2
2004-03,Asian Civilisations Museum,15.1
2004-03,National Museum Of Singapore,10
2004-03,Singapore Art Museum,21.9
2004-03,Singapore Philatelic Museum,4
2004-03,The Peranakan Museum,na
2004-03,Science Centre Singapore,107.4
2004-03,Jurong Birdpark,42.3
2004-03,Night Safari,59.9
2004-03,River Safari,na
2004-03,Singapore Zoological Gardens,96.1
2004-03,Chinese/japanese Gardens,56.4
2004-04,Asian Civilisations Museum,17
2004-04,National Museum Of Singapore,12.4
2004-04,Singapore Art Museum,25.4
2004-04,Singapore Philatelic Museum,3.9
2004-04,The Peranakan Museum,na
2004-04,Science Centre Singapore,91.7
2004-04,Jurong Birdpark,52
2004-04,Night Safari,60.7
2004-04,River Safari,na
2004-04,Singapore Zoological Gardens,89
2004-04,Chinese/japanese Gardens,51.9
2004-05,Asian Civilisations Museum,19.4
2004-05,National Museum Of Singapore,6.8
2004-05,Singapore Art Museum,29.9
2004-05,Singapore Philatelic Museum,5.5
2004-05,The Peranakan Museum,na
2004-05,Science Centre Singapore,104.8
2004-05,Jurong Birdpark,70.3
2004-05,Night Safari,72
2004-05,River Safari,na
2004-05,Singapore Zoological Gardens,99.2
2004-05,Chinese/japanese Gardens,47.5
2004-06,Asian Civilisations Museum,16
2004-06,National Museum Of Singapore,6
2004-06,Singapore Art Museum,29.2
2004-06,Singapore Philatelic Museum,3.6
2004-06,The Peranakan Museum,na
2004-06,Science Centre Singapore,85.2
2004-06,Jurong Birdpark,84.2
2004-06,Night Safari,88.1
2004-06,River Safari,na
2004-06,Singapore Zoological Gardens,121.2
2004-06,Chinese/japanese Gardens,32
2004-07,Asian Civilisations Museum,17.9
2004-07,National Museum Of Singapore,8.4
2004-07,Singapore Art Museum,30.1
2004-07,Singapore Philatelic Museum,4.8
2004-07,The Peranakan Museum,na
2004-07,Science Centre Singapore,39.7
2004-07,Jurong Birdpark,80.4
2004-07,Night Safari,83.3
2004-07,River Safari,na
2004-07,Singapore Zoological Gardens,95.3
2004-07,Chinese/japanese Gardens,36.2
2004-08,Asian Civilisations Museum,17
2004-08,National Museum Of Singapore,7.2
2004-08,Singapore Art Museum,28.1
2004-08,Singapore Philatelic Museum,7.9
2004-08,The Peranakan Museum,na
2004-08,Science Centre Singapore,30.5
2004-08,Jurong Birdpark,76.6
2004-08,Night Safari,85.2
2004-08,River Safari,na
2004-08,Singapore Zoological Gardens,108.6
2004-08,Chinese/japanese Gardens,19.8
2004-09,Asian Civilisations Museum,33.1
2004-09,National Museum Of Singapore,6.3
2004-09,Singapore Art Museum,31.4
2004-09,Singapore Philatelic Museum,4.5
2004-09,The Peranakan Museum,na
2004-09,Science Centre Singapore,38.4
2004-09,Jurong Birdpark,54.7
2004-09,Night Safari,63.5
2004-09,River Safari,na
2004-09,Singapore Zoological Gardens,83.9
2004-09,Chinese/japanese Gardens,169.1
2004-10,Asian Civilisations Museum,23.8
2004-10,National Museum Of Singapore,6.6
2004-10,Singapore Art Museum,30.3
2004-10,Singapore Philatelic Museum,4.7
2004-10,The Peranakan Museum,na
2004-10,Science Centre Singapore,37
2004-10,Jurong Birdpark,60.4
2004-10,Night Safari,75.7
2004-10,River Safari,na
2004-10,Singapore Zoological Gardens,78.4
2004-10,Chinese/japanese Gardens,43.4
2004-11,Asian Civilisations Museum,20.9
2004-11,National Museum Of Singapore,9
2004-11,Singapore Art Museum,30.7
2004-11,Singapore Philatelic Museum,6.5
2004-11,The Peranakan Museum,na
2004-11,Science Centre Singapore,72
2004-11,Jurong Birdpark,81.7
2004-11,Night Safari,70
2004-11,River Safari,na
2004-11,Singapore Zoological Gardens,98.7
2004-11,Chinese/japanese Gardens,31.8
2004-12,Asian Civilisations Museum,17.4
2004-12,National Museum Of Singapore,4.7
2004-12,Singapore Art Museum,35.5
2004-12,Singapore Philatelic Museum,7
2004-12,The Peranakan Museum,na
2004-12,Science Centre Singapore,93.5
2004-12,Jurong Birdpark,87.5
2004-12,Night Safari,86
2004-12,River Safari,na
2004-12,Singapore Zoological Gardens,133
2004-12,Chinese/japanese Gardens,41.6
2005-01,Asian Civilisations Museum,19
2005-01,National Museum Of Singapore,4.9
2005-01,Singapore Art Museum,44.7
2005-01,Singapore Philatelic Museum,4.6
2005-01,The Peranakan Museum,na
2005-01,Science Centre Singapore,72.3
2005-01,Jurong Birdpark,52
2005-01,Night Safari,70.6
2005-01,River Safari,na
2005-01,Singapore Zoological Gardens,74.6
2005-01,Chinese/japanese Gardens,50.9
2005-02,Asian Civilisations Museum,16.4
2005-02,National Museum Of Singapore,6.9
2005-02,Singapore Art Museum,38.6
2005-02,Singapore Philatelic Museum,4.5
2005-02,The Peranakan Museum,na
2005-02,Science Centre Singapore,41.4
2005-02,Jurong Birdpark,57.2
2005-02,Night Safari,70.3
2005-02,River Safari,na
2005-02,Singapore Zoological Gardens,92.9
2005-02,Chinese/japanese Gardens,85.8
2005-03,Asian Civilisations Museum,22.9
2005-03,National Museum Of Singapore,8.5
2005-03,Singapore Art Museum,23.7
2005-03,Singapore Philatelic Museum,4.6
2005-03,The Peranakan Museum,na
2005-03,Science Centre Singapore,62.5
2005-03,Jurong Birdpark,68.7
2005-03,Night Safari,89.4
2005-03,River Safari,na
2005-03,Singapore Zoological Gardens,121.8
2005-03,Chinese/japanese Gardens,53.1
2005-04,Asian Civilisations Museum,24.9
2005-04,National Museum Of Singapore,12.4
2005-04,Singapore Art Museum,22.5
2005-04,Singapore Philatelic Museum,8.4
2005-04,The Peranakan Museum,na
2005-04,Science Centre Singapore,44.9
2005-04,Jurong Birdpark,67.2
2005-04,Night Safari,73.9
2005-04,River Safari,na
2005-04,Singapore Zoological Gardens,90.4
2005-04,Chinese/japanese Gardens,42.2
2005-05,Asian Civilisations Museum,22.3
2005-05,National Museum Of Singapore,8.9
2005-05,Singapore Art Museum,24.5
2005-05,Singapore Philatelic Museum,8.4
2005-05,The Peranakan Museum,na
2005-05,Science Centre Singapore,72.6
2005-05,Jurong Birdpark,85.3
2005-05,Night Safari,95.6
2005-05,River Safari,na
2005-05,Singapore Zoological Gardens,131.5
2005-05,Chinese/japanese Gardens,51.2
2005-06,Asian Civilisations Museum,16.9
2005-06,National Museum Of Singapore,5.1
2005-06,Singapore Art Museum,26.7
2005-06,Singapore Philatelic Museum,6
2005-06,The Peranakan Museum,na
2005-06,Science Centre Singapore,75.8
2005-06,Jurong Birdpark,84.1
2005-06,Night Safari,85.6
2005-06,River Safari,na
2005-06,Singapore Zoological Gardens,133.2
2005-06,Chinese/japanese Gardens,62.8
2005-07,Asian Civilisations Museum,25
2005-07,National Museum Of Singapore,7.6
2005-07,Singapore Art Museum,32.3
2005-07,Singapore Philatelic Museum,8.9
2005-07,The Peranakan Museum,na
2005-07,Science Centre Singapore,61.3
2005-07,Jurong Birdpark,88.6
2005-07,Night Safari,99.2
2005-07,River Safari,na
2005-07,Singapore Zoological Gardens,125.8
2005-07,Chinese/japanese Gardens,52
2005-08,Asian Civilisations Museum,24.7
2005-08,National Museum Of Singapore,7.1
2005-08,Singapore Art Museum,30.5
2005-08,Singapore Philatelic Museum,8.5
2005-08,The Peranakan Museum,na
2005-08,Science Centre Singapore,49
2005-08,Jurong Birdpark,93
2005-08,Night Safari,105
2005-08,River Safari,na
2005-08,Singapore Zoological Gardens,102.8
2005-08,Chinese/japanese Gardens,28.4
2005-09,Asian Civilisations Museum,32.8
2005-09,National Museum Of Singapore,9.2
2005-09,Singapore Art Museum,22.8
2005-09,Singapore Philatelic Museum,7.9
2005-09,The Peranakan Museum,na
2005-09,Science Centre Singapore,66.3
2005-09,Jurong Birdpark,70.7
2005-09,Night Safari,68.6
2005-09,River Safari,na
2005-09,Singapore Zoological Gardens,82.1
2005-09,Chinese/japanese Gardens,171.6
2005-10,Asian Civilisations Museum,33.9
2005-10,National Museum Of Singapore,5
2005-10,Singapore Art Museum,25.5
2005-10,Singapore Philatelic Museum,7.1
2005-10,The Peranakan Museum,na
2005-10,Science Centre Singapore,41.9
2005-10,Jurong Birdpark,74.6
2005-10,Night Safari,80.8
2005-10,River Safari,na
2005-10,Singapore Zoological Gardens,79.2
2005-10,Chinese/japanese Gardens,41.4
2005-11,Asian Civilisations Museum,22
2005-11,National Museum Of Singapore,11.4
2005-11,Singapore Art Museum,26.1
2005-11,Singapore Philatelic Museum,6.3
2005-11,The Peranakan Museum,na
2005-11,Science Centre Singapore,79.9
2005-11,Jurong Birdpark,70.3
2005-11,Night Safari,69.3
2005-11,River Safari,na
2005-11,Singapore Zoological Gardens,111.8
2005-11,Chinese/japanese Gardens,50.2
2005-12,Asian Civilisations Museum,16.3
2005-12,National Museum Of Singapore,4.3
2005-12,Singapore Art Museum,28.8
2005-12,Singapore Philatelic Museum,7.1
2005-12,The Peranakan Museum,na
2005-12,Science Centre Singapore,116
2005-12,Jurong Birdpark,67.9
2005-12,Night Safari,94.4
2005-12,River Safari,na
2005-12,Singapore Zoological Gardens,137.2
2005-12,Chinese/japanese Gardens,50.9
2006-01,Asian Civilisations Museum,16.1
2006-01,National Museum Of Singapore,5.2
2006-01,Singapore Art Museum,23.6
2006-01,Singapore Philatelic Museum,8
2006-01,The Peranakan Museum,na
2006-01,Science Centre Singapore,53.1
2006-01,Jurong Birdpark,59
2006-01,Night Safari,80.4
2006-01,River Safari,na
2006-01,Singapore Zoological Gardens,101.3
2006-01,Chinese/japanese Gardens,54.1
2006-02,Asian Civilisations Museum,11.3
2006-02,National Museum Of Singapore,7.3
2006-02,Singapore Art Museum,21.6
2006-02,Singapore Philatelic Museum,7.2
2006-02,The Peranakan Museum,na
2006-02,Science Centre Singapore,41.5
2006-02,Jurong Birdpark,47.1
2006-02,Night Safari,60.2
2006-02,River Safari,na
2006-02,Singapore Zoological Gardens,79.8
2006-02,Chinese/japanese Gardens,49.4
2006-03,Asian Civilisations Museum,17.7
2006-03,National Museum Of Singapore,1.1
2006-03,Singapore Art Museum,26.3
2006-03,Singapore Philatelic Museum,8
2006-03,The Peranakan Museum,na
2006-03,Science Centre Singapore,85.6
2006-03,Jurong Birdpark,52.6
2006-03,Night Safari,97.4
2006-03,River Safari,na
2006-03,Singapore Zoological Gardens,124.6
2006-03,Chinese/japanese Gardens,48.7
2006-04,Asian Civilisations Museum,54.2
2006-04,National Museum Of Singapore,2.8
2006-04,Singapore Art Museum,28.2
2006-04,Singapore Philatelic Museum,7.1
2006-04,The Peranakan Museum,na
2006-04,Science Centre Singapore,62.2
2006-04,Jurong Birdpark,57.8
2006-04,Night Safari,80.6
2006-04,River Safari,na
2006-04,Singapore Zoological Gardens,119.5
2006-04,Chinese/japanese Gardens,49.4
2006-05,Asian Civilisations Museum,45.5
2006-05,National Museum Of Singapore,0.7
2006-05,Singapore Art Museum,35.3
2006-05,Singapore Philatelic Museum,10.5
2006-05,The Peranakan Museum,na
2006-05,Science Centre Singapore,89.7
2006-05,Jurong Birdpark,77.6
2006-05,Night Safari,95.6
2006-05,River Safari,na
2006-05,Singapore Zoological Gardens,136.9
2006-05,Chinese/japanese Gardens,35.8
2006-06,Asian Civilisations Museum,36.6
2006-06,National Museum Of Singapore,5.4
2006-06,Singapore Art Museum,31.5
2006-06,Singapore Philatelic Museum,7.4
2006-06,The Peranakan Museum,na
2006-06,Science Centre Singapore,153.3
2006-06,Jurong Birdpark,64.2
2006-06,Night Safari,108.6
2006-06,River Safari,na
2006-06,Singapore Zoological Gardens,121.2
2006-06,Chinese/japanese Gardens,43.7
2006-07,Asian Civilisations Museum,47.4
2006-07,National Museum Of Singapore,3.8
2006-07,Singapore Art Museum,27.9
2006-07,Singapore Philatelic Museum,8.1
2006-07,The Peranakan Museum,na
2006-07,Science Centre Singapore,111.2
2006-07,Jurong Birdpark,73.6
2006-07,Night Safari,90
2006-07,River Safari,na
2006-07,Singapore Zoological Gardens,131.3
2006-07,Chinese/japanese Gardens,52.5
2006-08,Asian Civilisations Museum,40.9
2006-08,National Museum Of Singapore,6.5
2006-08,Singapore Art Museum,24.9
2006-08,Singapore Philatelic Museum,10.2
2006-08,The Peranakan Museum,na
2006-08,Science Centre Singapore,112.3
2006-08,Jurong Birdpark,78.2
2006-08,Night Safari,95.4
2006-08,River Safari,na
2006-08,Singapore Zoological Gardens,131.1
2006-08,Chinese/japanese Gardens,53.1
2006-09,Asian Civilisations Museum,43.4
2006-09,National Museum Of Singapore,10.9
2006-09,Singapore Art Museum,26.2
2006-09,Singapore Philatelic Museum,6.4
2006-09,The Peranakan Museum,na
2006-09,Science Centre Singapore,82.1
2006-09,Jurong Birdpark,52.8
2006-09,Night Safari,58.4
2006-09,River Safari,na
2006-09,Singapore Zoological Gardens,106
2006-09,Chinese/japanese Gardens,92.8
2006-10,Asian Civilisations Museum,45.5
2006-10,National Museum Of Singapore,28.5
2006-10,Singapore Art Museum,24.7
2006-10,Singapore Philatelic Museum,8.4
2006-10,The Peranakan Museum,na
2006-10,Science Centre Singapore,51
2006-10,Jurong Birdpark,70.9
2006-10,Night Safari,86.1
2006-10,River Safari,na
2006-10,Singapore Zoological Gardens,105.5
2006-10,Chinese/japanese Gardens,120.6
2006-11,Asian Civilisations Museum,43.4
2006-11,National Museum Of Singapore,2.9
2006-11,Singapore Art Museum,24.4
2006-11,Singapore Philatelic Museum,6
2006-11,The Peranakan Museum,na
2006-11,Science Centre Singapore,54.6
2006-11,Jurong Birdpark,64.3
2006-11,Night Safari,64.7
2006-11,River Safari,na
2006-11,Singapore Zoological Gardens,102
2006-11,Chinese/japanese Gardens,49.1
2006-12,Asian Civilisations Museum,35.9
2006-12,National Museum Of Singapore,83.5
2006-12,Singapore Art Museum,19.8
2006-12,Singapore Philatelic Museum,7.1
2006-12,The Peranakan Museum,na
2006-12,Science Centre Singapore,92.3
2006-12,Jurong Birdpark,90.2
2006-12,Night Safari,89.7
2006-12,River Safari,na
2006-12,Singapore Zoological Gardens,145.9
2006-12,Chinese/japanese Gardens,49.5
2007-01,Asian Civilisations Museum,41.5
2007-01,National Museum Of Singapore,49.1
2007-01,Singapore Art Museum,23.3
2007-01,Singapore Philatelic Museum,6.4
2007-01,The Peranakan Museum,na
2007-01,Science Centre Singapore,47.5
2007-01,Jurong Birdpark,60.6
2007-01,Night Safari,83.6
2007-01,River Safari,na
2007-01,Singapore Zoological Gardens,90.5
2007-01,Chinese/japanese Gardens,51.6
2007-02,Asian Civilisations Museum,50.1
2007-02,National Museum Of Singapore,40.3
2007-02,Singapore Art Museum,17.8
2007-02,Singapore Philatelic Museum,7.1
2007-02,The Peranakan Museum,na
2007-02,Science Centre Singapore,41
2007-02,Jurong Birdpark,58.5
2007-02,Night Safari,77
2007-02,River Safari,na
2007-02,Singapore Zoological Gardens,77
2007-02,Chinese/japanese Gardens,41.7
2007-03,Asian Civilisations Museum,52.7
2007-03,National Museum Of Singapore,53.1
2007-03,Singapore Art Museum,20.5
2007-03,Singapore Philatelic Museum,7.9
2007-03,The Peranakan Museum,na
2007-03,Science Centre Singapore,67.4
2007-03,Jurong Birdpark,68.1
2007-03,Night Safari,114.4
2007-03,River Safari,na
2007-03,Singapore Zoological Gardens,114.4
2007-03,Chinese/japanese Gardens,39.4
2007-04,Asian Civilisations Museum,50.7
2007-04,National Museum Of Singapore,57.9
2007-04,Singapore Art Museum,25.1
2007-04,Singapore Philatelic Museum,6.7
2007-04,The Peranakan Museum,na
2007-04,Science Centre Singapore,51.1
2007-04,Jurong Birdpark,76.4
2007-04,Night Safari,80.8
2007-04,River Safari,na
2007-04,Singapore Zoological Gardens,126
2007-04,Chinese/japanese Gardens,42.3
2007-05,Asian Civilisations Museum,46.4
2007-05,National Museum Of Singapore,61
2007-05,Singapore Art Museum,27
2007-05,Singapore Philatelic Museum,7.1
2007-05,The Peranakan Museum,na
2007-05,Science Centre Singapore,68.3
2007-05,Jurong Birdpark,81.3
2007-05,Night Safari,90.1
2007-05,River Safari,na
2007-05,Singapore Zoological Gardens,152.6
2007-05,Chinese/japanese Gardens,36.9
2007-06,Asian Civilisations Museum,38.1
2007-06,National Museum Of Singapore,55
2007-06,Singapore Art Museum,26.1
2007-06,Singapore Philatelic Museum,6.5
2007-06,The Peranakan Museum,na
2007-06,Science Centre Singapore,83.1
2007-06,Jurong Birdpark,84
2007-06,Night Safari,107.6
2007-06,River Safari,na
2007-06,Singapore Zoological Gardens,152.4
2007-06,Chinese/japanese Gardens,28.2
2007-07,Asian Civilisations Museum,50.1
2007-07,National Museum Of Singapore,56.9
2007-07,Singapore Art Museum,28.1
2007-07,Singapore Philatelic Museum,8.7
2007-07,The Peranakan Museum,na
2007-07,Science Centre Singapore,82.3
2007-07,Jurong Birdpark,77.8
2007-07,Night Safari,108.7
2007-07,River Safari,na
2007-07,Singapore Zoological Gardens,139.5
2007-07,Chinese/japanese Gardens,37.6
