date,location,value
1993-06,National Museum Of Singapore,27.7
1993-06,Singapore Art Museum,na
1993-06,Singapore Philatelic Museum,na
1993-06,The Peranakan Museum,na
1993-06,Science Centre Singapore,55.8
1993-06,Jurong Birdpark,na
1993-06,Night Safari,na
1993-06,River Safari,na
1993-06,Singapore Zoological Gardens,181.3
1993-06,Chinese/japanese Gardens,23
1993-07,Asian Civilisations Museum,na
1993-07,National Museum Of Singapore,27.1
1993-07,Singapore Art Museum,na
1993-07,Singapore Philatelic Museum,na
1993-07,The Peranakan Museum,na
1993-07,Science Centre Singapore,41.9
1993-07,Jurong Birdpark,na
1993-07,Night Safari,na
1993-07,River Safari,na
1993-07,Singapore Zoological Gardens,112.2
1993-07,Chinese/japanese Gardens,13
1993-08,Asian Civilisations Museum,na
1993-08,National Museum Of Singapore,16.3
1993-08,Singapore Art Museum,na
1993-08,Singapore Philatelic Museum,na
1993-08,The Peranakan Museum,na
1993-08,Science Centre Singapore,37.6
1993-08,Jurong Birdpark,na
1993-08,Night Safari,na
1993-08,River Safari,na
1993-08,Singapore Zoological Gardens,146.1
1993-08,Chinese/japanese Gardens,17.2
1993-09,Asian Civilisations Museum,na
1993-09,National Museum Of Singapore,14
1993-09,Singapore Art Museum,na
1993-09,Singapore Philatelic Museum,na
1993-09,The Peranakan Museum,na
1993-09,Science Centre Singapore,33.9
1993-09,Jurong Birdpark,na
1993-09,Night Safari,na
1993-09,River Safari,na
1993-09,Singapore Zoological Gardens,116
1993-09,Chinese/japanese Gardens,82.6
1993-10,Asian Civilisations Museum,na
1993-10,National Museum Of Singapore,17.8
1993-10,Singapore Art Museum,na
1993-10,Singapore Philatelic Museum,na
1993-10,The Peranakan Museum,na
1993-10,Science Centre Singapore,31.6
1993-10,Jurong Birdpark,na
1993-10,Night Safari,na
1993-10,River Safari,na
1993-10,Singapore Zoological Gardens,103.6
1993-10,Chinese/japanese Gardens,33.5
1993-11,Asian Civilisations Museum,na
1993-11,National Museum Of Singapore,23
1993-11,Singapore Art Museum,na
1993-11,Singapore Philatelic Museum,na
1993-11,The Peranakan Museum,na
1993-11,Science Centre Singapore,87.9
1993-11,Jurong Birdpark,na
1993-11,Night Safari,na
1993-11,River Safari,na
1993-11,Singapore Zoological Gardens,157.5
1993-11,Chinese/japanese Gardens,17.2
1993-12,Asian Civilisations Museum,na
1993-12,National Museum Of Singapore,13
1993-12,Singapore Art Museum,na
1993-12,Singapore Philatelic Museum,na
1993-12,The Peranakan Museum,na
1993-12,Science Centre Singapore,38
1993-12,Jurong Birdpark,na
1993-12,Night Safari,na
1993-12,River Safari,na
1993-12,Singapore Zoological Gardens,127
1993-12,Chinese/japanese Gardens,15.6
1994-01,Asian Civilisations Museum,na
1994-01,National Museum Of Singapore,11.6
1994-01,Singapore Art Museum,na
1994-01,Singapore Philatelic Museum,na
1994-01,The Peranakan Museum,na
1994-01,Science Centre Singapore,16.4
1994-01,Jurong Birdpark,na
1994-01,Night Safari,na
1994-01,River Safari,na
1994-01,Singapore Zoological Gardens,83.8
1994-01,Chinese/japanese Gardens,12.2
1994-02,Asian Civilisations Museum,na
1994-02,National Museum Of Singapore,18.3
1994-02,Singapore Art Museum,na
1994-02,Singapore Philatelic Museum,na
1994-02,The Peranakan Museum,na
1994-02,Science Centre Singapore,22.4
